Company,Technology,Mentions_SocialMedia,Mentions_Internet,Market_Penetration (%),Sentiment_SocialMedia,Sentiment_Internet,Innovation_Index,Category,Region,Revenue_Estimate (USD),Employee_Count,Date,Sentiment_Score_SocialMedia,Sentiment_Score_Internet,Growth_Rate_Mentions_SocialMedia,Growth_Rate_Mentions_Internet
Agritech Tunisia,Water Management,160,208,13.26,négatif,neutre,3,Drones,Europe,137774,119,2024-12-02,-1,0,-0.5107033639143731,0.08900523560209428
Agritech Tunisia,Agriculture 4.0,190,180,7.46,neutre,positif,5,Precision Agriculture,Global,3923417,96,2024-12-02,0,1,0.1875,-0.13461538461538458
Agritech Tunisia,Smart Irrigation,446,210,3.03,négatif,positif,10,IoT,Sub-Saharan Africa,4882571,411,2024-12-02,-1,1,1.3473684210526318,0.16666666666666674
Agritech Tunisia,Precision Agriculture,187,96,13.51,positif,négatif,2,AI,North Africa,3265765,472,2024-12-02,1,-1,-0.5807174887892377,-0.5428571428571429
Agritech Tunisia,Sustainable Agriculture,10,178,12.93,neutre,positif,6,AI,Global,1241513,592,2024-12-02,0,1,-0.946524064171123,0.8541666666666667
Agritech Tunisia,AI in Agriculture,23,22,16.13,négatif,positif,3,Robotics,Europe,1492680,377,2024-12-02,-1,1,1.2999999999999998,-0.8764044943820225
Agritech Tunisia,IoT for Farming,233,122,26.13,neutre,positif,9,Sustainability,Tunisia,2761036,761,2024-12-02,0,1,9.130434782608695,4.545454545454546
Agritech Tunisia,Water Management,33,15,15.34,négatif,négatif,1,Sustainability,Europe,3722506,836,2024-12-02,-1,-1,-0.8583690987124464,-0.8770491803278688
Agritech Tunisia,Sustainable Agriculture,492,123,10.26,négatif,neutre,7,Climate Change,Europe,4813157,529,2024-12-02,-1,0,13.909090909090908,7.199999999999999
Agritech Tunisia,Climate-Smart Agriculture,196,283,15.46,négatif,positif,6,Robotics,Global,2569515,439,2024-12-02,-1,1,-0.6016260162601625,1.3008130081300813
Agritech Tunisia,AI in Agriculture,405,21,10.77,positif,négatif,10,Precision Agriculture,Tunisia,92486,525,2024-12-02,1,-1,1.066326530612245,-0.9257950530035336
Agritech Tunisia,Drones for Crop Monitoring,115,40,6.45,positif,positif,7,Sustainability,Global,1024767,220,2024-12-02,1,1,-0.7160493827160495,0.9047619047619047
Agritech Tunisia,Drones for Crop Monitoring,456,162,8.93,négatif,négatif,4,Precision Agriculture,Tunisia,2385948,930,2024-12-02,-1,-1,2.965217391304348,3.05
Agritech Tunisia,Drones for Crop Monitoring,245,288,19.17,négatif,négatif,6,Climate Change,Europe,1138229,989,2024-12-02,-1,-1,-0.4627192982456141,0.7777777777777777
Agritech Tunisia,Precision Agriculture,342,188,21.18,négatif,neutre,1,Climate Change,North Africa,172020,275,2024-12-02,-1,0,0.39591836734693886,-0.3472222222222222
Agritech Tunisia,Agriculture 4.0,259,107,17.14,positif,négatif,7,AI,Sub-Saharan Africa,3449996,506,2024-12-02,1,-1,-0.24269005847953218,-0.4308510638297872
Agritech Tunisia,AI in Agriculture,240,115,7.68,neutre,négatif,7,Climate Change,North Africa,614832,549,2024-12-02,0,-1,-0.07335907335907332,0.07476635514018692
Agritech Tunisia,Sustainable Agriculture,21,62,6.65,négatif,négatif,1,AI,North Africa,2968129,467,2024-12-02,-1,-1,-0.9125,-0.4608695652173913
Agritech Tunisia,Agricultural Robotics,313,24,4.2,positif,négatif,4,Robotics,Sub-Saharan Africa,2481111,865,2024-12-02,1,-1,13.904761904761905,-0.6129032258064516
Agritech Tunisia,Climate-Smart Agriculture,278,86,4.86,négatif,positif,3,Technology Adoption,Europe,4130586,497,2024-12-02,-1,1,-0.11182108626198084,2.5833333333333335
Agritech Tunisia,Climate-Smart Agriculture,406,237,7.55,positif,neutre,8,Drones,Sub-Saharan Africa,4880752,540,2024-12-02,1,0,0.460431654676259,1.755813953488372
Agritech Tunisia,Drones for Crop Monitoring,260,230,8.89,neutre,neutre,3,Smart Irrigation,Tunisia,1404706,186,2024-12-03,0,0,-0.35960591133004927,-0.029535864978902926
Agritech Tunisia,Drones for Crop Monitoring,131,65,17.59,négatif,neutre,10,Precision Agriculture,Tunisia,3699994,625,2024-12-03,-1,0,-0.49615384615384617,-0.7173913043478262
Agritech Tunisia,Precision Agriculture,219,185,29.89,neutre,neutre,1,Climate Change,Sub-Saharan Africa,1540501,583,2024-12-03,0,0,0.6717557251908397,1.8461538461538463
Agritech Tunisia,Smart Irrigation,444,186,19.13,neutre,négatif,10,Smart Irrigation,Tunisia,4454138,500,2024-12-03,0,-1,1.0273972602739727,0.00540540540540535
Agritech Tunisia,AI in Agriculture,248,283,21.64,négatif,négatif,5,Precision Agriculture,Sub-Saharan Africa,2201593,633,2024-12-03,-1,-1,-0.4414414414414415,0.521505376344086
Agritech Tunisia,Smart Irrigation,441,249,18.86,neutre,neutre,2,Technology Adoption,Europe,1558681,177,2024-12-03,0,0,0.778225806451613,-0.12014134275618371
Agritech Tunisia,Smart Irrigation,237,110,17.52,neutre,négatif,10,Technology Adoption,Tunisia,2188048,538,2024-12-03,0,-1,-0.4625850340136054,-0.5582329317269077
Agritech Tunisia,Water Management,209,265,21.65,positif,neutre,8,Technology Adoption,North Africa,2749741,683,2024-12-03,1,0,-0.11814345991561181,1.4090909090909092
Agritech Tunisia,Agriculture 4.0,479,211,5.94,négatif,positif,3,Climate Change,North Africa,3603491,698,2024-12-03,-1,1,1.2918660287081338,-0.20377358490566033
Agritech Tunisia,IoT for Farming,430,57,4.36,négatif,neutre,3,Technology Adoption,Tunisia,1261620,607,2024-12-03,-1,0,-0.10229645093945716,-0.7298578199052133
Agritech Tunisia,Sustainable Agriculture,147,189,1.53,négatif,neutre,9,Technology Adoption,Sub-Saharan Africa,3146077,169,2024-12-03,-1,0,-0.6581395348837209,2.3157894736842106
Agritech Tunisia,Agricultural Robotics,403,256,21.4,neutre,négatif,10,Water Management,North Africa,4719950,570,2024-12-03,0,-1,1.741496598639456,0.3544973544973544
Agritech Tunisia,IoT for Farming,16,96,10.4,négatif,négatif,10,Climate Change,Tunisia,1053617,235,2024-12-03,-1,-1,-0.9602977667493796,-0.625
Agritech Tunisia,Drones for Crop Monitoring,169,238,2.39,positif,neutre,6,Smart Irrigation,Europe,4651311,722,2024-12-03,1,0,9.5625,1.4791666666666665
Agritech Tunisia,Sustainable Agriculture,428,203,19.27,positif,positif,10,Technology Adoption,North Africa,3324900,66,2024-12-03,1,1,1.532544378698225,-0.1470588235294118
Agritech Tunisia,Smart Irrigation,277,82,21.23,neutre,neutre,5,Climate Change,North Africa,4886571,555,2024-12-03,0,0,-0.352803738317757,-0.5960591133004927
Agritech Tunisia,IoT for Farming,195,123,26.35,positif,neutre,9,IoT,North Africa,2938674,306,2024-12-03,1,0,-0.296028880866426,0.5
Agritech Tunisia,AI in Agriculture,33,97,22.1,positif,négatif,6,Smart Irrigation,Sub-Saharan Africa,3415519,652,2024-12-03,1,-1,-0.8307692307692307,-0.21138211382113825
Agritech Tunisia,Agriculture 4.0,457,294,20.31,neutre,positif,5,Technology Adoption,Europe,332042,142,2024-12-03,0,1,12.848484848484848,2.0309278350515463
Agritech Tunisia,IoT for Farming,93,282,4.09,négatif,négatif,5,Water Management,Europe,3587878,633,2024-12-03,-1,-1,-0.7964989059080962,-0.04081632653061229
Agritech Tunisia,AI in Agriculture,391,159,11.27,négatif,positif,9,IoT,Europe,2368327,607,2024-12-03,-1,1,3.204301075268817,-0.43617021276595747
Agritech Tunisia,AI in Agriculture,413,242,28.51,neutre,négatif,7,Sustainability,North Africa,1160082,379,2024-12-03,0,-1,0.05626598465473154,0.5220125786163523
Agritech Tunisia,Precision Agriculture,370,179,15.44,neutre,négatif,6,Drones,Tunisia,2627506,526,2024-12-03,0,-1,-0.10411622276029053,-0.2603305785123967
Agritech Tunisia,IoT for Farming,461,207,14.92,neutre,neutre,2,Smart Irrigation,Europe,2839554,495,2024-12-03,0,0,0.24594594594594588,0.15642458100558665
Agritech Tunisia,AI in Agriculture,292,110,17.79,négatif,positif,10,Smart Irrigation,Europe,2393602,270,2024-12-03,-1,1,-0.36659436008676793,-0.4685990338164251
Agritech Tunisia,Water Management,148,248,18.36,négatif,négatif,5,Water Management,Sub-Saharan Africa,1665614,930,2024-12-03,-1,-1,-0.4931506849315068,1.2545454545454544
Agritech Tunisia,Precision Agriculture,104,210,14.24,positif,négatif,1,Smart Irrigation,Global,3908964,821,2024-12-03,1,-1,-0.29729729729729726,-0.15322580645161288
Agritech Tunisia,AI in Agriculture,341,121,15.4,positif,positif,4,Sustainability,Sub-Saharan Africa,1025495,252,2024-12-04,1,1,2.2788461538461537,-0.42380952380952386
Agritech Tunisia,IoT for Farming,287,291,18.02,positif,positif,5,Sustainability,Sub-Saharan Africa,2614212,753,2024-12-04,1,1,-0.15835777126099704,1.4049586776859506
Agritech Tunisia,Climate-Smart Agriculture,55,59,23.4,positif,positif,5,AI,North Africa,1324458,748,2024-12-04,1,1,-0.8083623693379791,-0.7972508591065293
Agritech Tunisia,Sustainable Agriculture,29,172,26.62,neutre,négatif,8,Robotics,Global,1523884,754,2024-12-04,0,-1,-0.4727272727272728,1.9152542372881354
Agritech Tunisia,Agriculture 4.0,23,13,21.99,positif,négatif,6,Robotics,Tunisia,4257131,749,2024-12-04,1,-1,-0.2068965517241379,-0.9244186046511628
Agritech Tunisia,Water Management,248,216,25.59,négatif,positif,10,Drones,Global,1431553,407,2024-12-04,-1,1,9.782608695652174,15.615384615384617
Agritech Tunisia,Agricultural Robotics,362,12,23.17,négatif,neutre,3,Smart Irrigation,Sub-Saharan Africa,1317180,695,2024-12-04,-1,0,0.45967741935483875,-0.9444444444444444
Agritech Tunisia,Agricultural Robotics,318,240,10.05,négatif,neutre,1,AI,North Africa,1542998,992,2024-12-04,-1,0,-0.12154696132596687,19.0
Agritech Tunisia,AI in Agriculture,302,70,19.36,négatif,négatif,5,IoT,Tunisia,2958300,534,2024-12-04,-1,-1,-0.05031446540880502,-0.7083333333333333
Agritech Tunisia,Agriculture 4.0,457,196,27.78,positif,négatif,9,IoT,Tunisia,4855466,902,2024-12-04,1,-1,0.5132450331125828,1.7999999999999998
Agritech Tunisia,Sustainable Agriculture,153,280,7.03,négatif,neutre,2,Drones,Tunisia,3183065,901,2024-12-04,-1,0,-0.6652078774617067,0.4285714285714286
Agritech Tunisia,Agriculture 4.0,220,135,19.04,positif,positif,8,Sustainability,North Africa,1159699,389,2024-12-04,1,1,0.43790849673202614,-0.5178571428571428
Agritech Tunisia,Smart Irrigation,297,131,8.43,négatif,neutre,3,AI,North Africa,1975440,40,2024-12-04,-1,0,0.3500000000000001,-0.029629629629629672
Agritech Tunisia,Agriculture 4.0,222,198,9.17,négatif,positif,7,Climate Change,North Africa,3162489,285,2024-12-04,-1,1,-0.2525252525252525,0.5114503816793894
Agritech Tunisia,AI in Agriculture,275,32,18.09,neutre,positif,1,AI,Europe,3195124,729,2024-12-04,0,1,0.23873873873873874,-0.8383838383838383
Agritech Tunisia,Smart Irrigation,433,208,3.78,négatif,neutre,2,Precision Agriculture,Global,4848264,722,2024-12-04,-1,0,0.5745454545454545,5.5
Agritech Tunisia,Agriculture 4.0,269,255,7.4,neutre,négatif,7,Precision Agriculture,Tunisia,1231066,719,2024-12-04,0,-1,-0.3787528868360277,0.22596153846153855
Agritech Tunisia,Agriculture 4.0,407,155,11.02,négatif,négatif,2,Water Management,Sub-Saharan Africa,693247,812,2024-12-04,-1,-1,0.513011152416357,-0.3921568627450981
Agritech Tunisia,Sustainable Agriculture,280,77,12.56,positif,positif,8,Climate Change,Global,2299291,958,2024-12-04,1,1,-0.312039312039312,-0.5032258064516129
Agritech Tunisia,Climate-Smart Agriculture,10,273,18.38,négatif,positif,8,Sustainability,Europe,1561811,128,2024-12-04,-1,1,-0.9642857142857143,2.5454545454545454
Agritech Tunisia,IoT for Farming,257,192,8.37,positif,positif,5,Smart Irrigation,Global,4560759,129,2024-12-04,1,1,24.7,-0.29670329670329665
Agritech Tunisia,Agriculture 4.0,107,249,18.75,neutre,neutre,3,IoT,Global,3963594,20,2024-12-04,0,0,-0.5836575875486381,0.296875
Agritech Tunisia,AI in Agriculture,106,43,25.43,positif,neutre,6,Precision Agriculture,Global,2948417,220,2024-12-04,1,0,-0.009345794392523366,-0.8273092369477911
Agritech Tunisia,IoT for Farming,436,90,9.3,positif,positif,4,AI,Sub-Saharan Africa,3463713,570,2024-12-04,1,1,3.1132075471698117,1.0930232558139537
Agritech Tunisia,Sustainable Agriculture,210,95,9.75,négatif,neutre,1,IoT,Global,3667970,477,2024-12-04,-1,0,-0.518348623853211,0.05555555555555558
Agritech Tunisia,Climate-Smart Agriculture,405,217,23.86,négatif,positif,2,Water Management,Global,3481814,270,2024-12-04,-1,1,0.9285714285714286,1.2842105263157895
Agritech Tunisia,Precision Agriculture,92,244,7.33,positif,neutre,2,IoT,Global,2320759,849,2024-12-04,1,0,-0.7728395061728395,0.12442396313364057
Agritech Tunisia,Drones for Crop Monitoring,227,227,3.49,positif,positif,4,Drones,Global,260406,633,2024-12-04,1,1,1.4673913043478262,-0.069672131147541
Agritech Tunisia,Smart Irrigation,323,101,25.86,positif,neutre,4,Technology Adoption,Sub-Saharan Africa,4511599,364,2024-12-05,1,0,0.4229074889867841,-0.5550660792951542
Agritech Tunisia,Sustainable Agriculture,366,138,26.48,négatif,négatif,7,Robotics,Tunisia,1053921,776,2024-12-05,-1,-1,0.1331269349845201,0.36633663366336644
Agritech Tunisia,Climate-Smart Agriculture,234,240,17.77,positif,neutre,4,AI,Europe,3131972,113,2024-12-05,1,0,-0.360655737704918,0.7391304347826086
Agritech Tunisia,Agriculture 4.0,23,91,21.46,neutre,positif,8,Technology Adoption,North Africa,2430854,690,2024-12-05,0,1,-0.9017094017094017,-0.6208333333333333
Agritech Tunisia,IoT for Farming,311,64,26.16,positif,positif,2,AI,Global,2372472,228,2024-12-05,1,1,12.521739130434783,-0.29670329670329665
Agritech Tunisia,Sustainable Agriculture,254,53,1.13,négatif,négatif,3,AI,Europe,1798393,983,2024-12-05,-1,-1,-0.18327974276527326,-0.171875
Agritech Tunisia,Agriculture 4.0,132,193,19.06,neutre,neutre,9,Drones,Europe,3155074,860,2024-12-05,0,0,-0.4803149606299213,2.641509433962264
Agritech Tunisia,AI in Agriculture,269,291,15.21,neutre,positif,9,Climate Change,Global,307443,391,2024-12-05,0,1,1.037878787878788,0.5077720207253886
Agritech Tunisia,IoT for Farming,115,13,11.05,positif,neutre,7,Sustainability,Europe,628651,211,2024-12-05,1,0,-0.5724907063197027,-0.9553264604810997
Agritech Tunisia,Agricultural Robotics,327,146,19.26,neutre,négatif,7,Robotics,Sub-Saharan Africa,1853360,768,2024-12-05,0,-1,1.8434782608695652,10.23076923076923
Agritech Tunisia,Smart Irrigation,484,123,14.84,positif,négatif,3,Technology Adoption,Global,2676952,650,2024-12-05,1,-1,0.48012232415902134,-0.15753424657534243
Agritech Tunisia,Precision Agriculture,414,26,14.42,positif,positif,2,Precision Agriculture,Europe,4023236,550,2024-12-05,1,1,-0.14462809917355368,-0.7886178861788617
Agritech Tunisia,IoT for Farming,212,80,9.99,négatif,positif,7,Sustainability,Europe,1258468,128,2024-12-05,-1,1,-0.4879227053140096,2.076923076923077
Agritech Tunisia,Smart Irrigation,78,125,5.37,négatif,positif,7,Sustainability,Tunisia,884535,66,2024-12-05,-1,1,-0.6320754716981132,0.5625
Agritech Tunisia,Precision Agriculture,498,54,23.93,négatif,positif,6,Robotics,Europe,1673960,609,2024-12-05,-1,1,5.384615384615385,-0.5680000000000001
Agritech Tunisia,AI in Agriculture,325,214,6.18,positif,neutre,7,Climate Change,Global,1772312,73,2024-12-05,1,0,-0.3473895582329317,2.962962962962963
Agritech Tunisia,Climate-Smart Agriculture,211,79,18.93,neutre,négatif,10,Smart Irrigation,Europe,3512792,605,2024-12-05,0,-1,-0.3507692307692307,-0.6308411214953271
Agritech Tunisia,Agricultural Robotics,328,49,23.81,positif,neutre,5,Robotics,Europe,4762916,874,2024-12-05,1,0,0.5545023696682465,-0.379746835443038
Agritech Tunisia,Agriculture 4.0,311,129,10.24,neutre,neutre,9,IoT,Sub-Saharan Africa,50994,115,2024-12-05,0,0,-0.05182926829268297,1.6326530612244898
Agritech Tunisia,Smart Irrigation,259,56,3.69,négatif,négatif,5,AI,North Africa,771953,333,2024-12-05,-1,-1,-0.16720257234726688,-0.5658914728682171
Agritech Tunisia,Climate-Smart Agriculture,259,58,16.99,neutre,neutre,7,AI,Global,4726776,591,2024-12-05,0,0,0.0,0.03571428571428581
Agritech Tunisia,Drones for Crop Monitoring,10,130,9.8,négatif,positif,6,Smart Irrigation,North Africa,4254934,438,2024-12-05,-1,1,-0.9613899613899614,1.2413793103448274
Agritech Tunisia,Climate-Smart Agriculture,158,96,14.07,neutre,négatif,8,Climate Change,Sub-Saharan Africa,582292,403,2024-12-05,0,-1,14.8,-0.2615384615384615
Agritech Tunisia,Agricultural Robotics,222,56,20.95,neutre,positif,4,AI,Tunisia,679409,196,2024-12-05,0,1,0.40506329113924044,-0.41666666666666663
Agritech Tunisia,AI in Agriculture,56,65,5.58,négatif,neutre,6,Water Management,North Africa,3326716,778,2024-12-05,-1,0,-0.7477477477477478,0.1607142857142858
Agritech Tunisia,Agriculture 4.0,124,38,16.16,négatif,positif,2,Robotics,North Africa,1721785,608,2024-12-05,-1,1,1.2142857142857144,-0.41538461538461535
Agritech Tunisia,Climate-Smart Agriculture,150,131,29.87,neutre,neutre,5,IoT,Global,1751063,432,2024-12-05,0,0,0.20967741935483875,2.4473684210526314
Agritech Tunisia,Sustainable Agriculture,256,43,23.12,positif,neutre,8,Technology Adoption,Global,1870646,814,2024-12-05,1,0,0.7066666666666668,-0.6717557251908397
Agritech Tunisia,Climate-Smart Agriculture,439,43,7.65,négatif,neutre,3,AI,Sub-Saharan Africa,3701480,49,2024-12-05,-1,0,0.71484375,0.0
Agritech Tunisia,AI in Agriculture,442,189,3.8,négatif,neutre,7,Climate Change,North Africa,4391857,550,2024-12-05,-1,0,0.006833712984054774,3.395348837209302
Agritech Tunisia,Smart Irrigation,362,238,27.02,neutre,neutre,7,Robotics,Europe,107495,228,2024-12-05,0,0,-0.1809954751131222,0.2592592592592593
Agritech Tunisia,Agriculture 4.0,89,63,9.44,positif,neutre,5,AI,Europe,680301,444,2024-12-05,1,0,-0.7541436464088398,-0.7352941176470589
Agritech Tunisia,Smart Irrigation,377,144,2.3,négatif,neutre,5,Drones,Global,125371,832,2024-12-05,-1,0,3.235955056179775,1.2857142857142856
Agritech Tunisia,Agricultural Robotics,351,63,4.68,positif,neutre,1,Drones,Europe,356742,481,2024-12-06,1,0,-0.06896551724137934,-0.5625
Agritech Tunisia,Precision Agriculture,470,108,26.73,négatif,neutre,4,Robotics,Sub-Saharan Africa,1129511,228,2024-12-06,-1,0,0.3390313390313391,0.7142857142857142
Agritech Tunisia,Drones for Crop Monitoring,454,125,6.74,négatif,positif,8,Robotics,Sub-Saharan Africa,172217,871,2024-12-06,-1,1,-0.03404255319148941,0.15740740740740744
Agritech Tunisia,Water Management,360,151,21.18,négatif,positif,8,Smart Irrigation,Tunisia,3267733,90,2024-12-06,-1,1,-0.2070484581497798,0.20799999999999996
Agritech Tunisia,Drones for Crop Monitoring,377,66,22.3,neutre,neutre,7,Sustainability,Sub-Saharan Africa,3077378,748,2024-12-06,0,0,0.047222222222222276,-0.5629139072847682
Agritech Tunisia,Water Management,194,268,28.06,négatif,positif,3,Water Management,Europe,194111,882,2024-12-06,-1,1,-0.4854111405835544,3.0606060606060606
Agritech Tunisia,Drones for Crop Monitoring,428,164,6.27,positif,neutre,2,Smart Irrigation,Europe,2748511,668,2024-12-06,1,0,1.2061855670103094,-0.3880597014925373
Agritech Tunisia,Smart Irrigation,286,293,8.42,négatif,neutre,2,IoT,Europe,4359489,794,2024-12-06,-1,0,-0.3317757009345794,0.7865853658536586
Agritech Tunisia,Smart Irrigation,330,65,3.24,positif,neutre,8,Climate Change,Tunisia,1090118,802,2024-12-06,1,0,0.15384615384615374,-0.7781569965870307
Agritech Tunisia,Climate-Smart Agriculture,19,243,14.13,négatif,neutre,4,Sustainability,Tunisia,4441250,252,2024-12-06,-1,0,-0.9424242424242424,2.7384615384615385
Agritech Tunisia,Agriculture 4.0,150,37,15.27,neutre,négatif,2,Drones,Europe,1886384,715,2024-12-06,0,-1,6.894736842105263,-0.8477366255144033
Agritech Tunisia,Drones for Crop Monitoring,237,162,14.73,neutre,positif,5,Smart Irrigation,Global,1650215,395,2024-12-06,0,1,0.5800000000000001,3.378378378378378
Agritech Tunisia,Drones for Crop Monitoring,390,289,1.75,neutre,positif,8,AI,Tunisia,4444290,339,2024-12-06,0,1,0.6455696202531647,0.7839506172839505
Agritech Tunisia,Sustainable Agriculture,73,237,22.2,positif,neutre,9,Climate Change,Europe,505435,328,2024-12-06,1,0,-0.8128205128205128,-0.17993079584775085
Agritech Tunisia,Sustainable Agriculture,361,257,20.25,positif,neutre,8,Sustainability,Sub-Saharan Africa,4753384,811,2024-12-06,1,0,3.9452054794520546,0.08438818565400852
Agritech Tunisia,IoT for Farming,40,247,13.29,négatif,positif,4,Technology Adoption,Sub-Saharan Africa,4231378,892,2024-12-06,-1,1,-0.889196675900277,-0.03891050583657585
Agritech Tunisia,Climate-Smart Agriculture,98,202,1.86,négatif,positif,8,Sustainability,Tunisia,4362747,815,2024-12-06,-1,1,1.4500000000000002,-0.18218623481781382
Agritech Tunisia,AI in Agriculture,464,6,21.47,négatif,neutre,2,Smart Irrigation,Global,816578,397,2024-12-06,-1,0,3.7346938775510203,-0.9702970297029703
Agritech Tunisia,Agricultural Robotics,338,18,9.83,positif,positif,10,Smart Irrigation,Europe,1412650,983,2024-12-06,1,1,-0.27155172413793105,2.0
Agritech Tunisia,AI in Agriculture,284,21,27.3,neutre,négatif,6,Sustainability,Sub-Saharan Africa,2420494,47,2024-12-06,0,-1,-0.1597633136094675,0.16666666666666674
Agritech Tunisia,Agriculture 4.0,12,32,21.15,négatif,positif,9,Drones,North Africa,4657471,504,2024-12-06,-1,1,-0.9577464788732395,0.5238095238095237
Agritech Tunisia,Agriculture 4.0,366,131,14.17,positif,neutre,6,Robotics,Sub-Saharan Africa,1696745,462,2024-12-07,1,0,29.5,3.09375
Agritech Tunisia,Agriculture 4.0,414,50,13.73,négatif,négatif,9,Smart Irrigation,Tunisia,2385924,239,2024-12-07,-1,-1,0.13114754098360648,-0.6183206106870229
Agritech Tunisia,Agricultural Robotics,284,246,26.06,neutre,neutre,3,Smart Irrigation,North Africa,2077324,639,2024-12-07,0,0,-0.31400966183574874,3.92
Agritech Tunisia,Agriculture 4.0,303,237,27.55,positif,neutre,3,Sustainability,Global,394896,563,2024-12-07,1,0,0.06690140845070425,-0.03658536585365857
Agritech Tunisia,IoT for Farming,304,35,2.51,positif,neutre,8,Drones,Tunisia,3486411,414,2024-12-07,1,0,0.0033003300330032292,-0.8523206751054853
Agritech Tunisia,IoT for Farming,215,286,4.54,négatif,positif,2,Water Management,Sub-Saharan Africa,4711419,925,2024-12-07,-1,1,-0.29276315789473684,7.171428571428571
Agritech Tunisia,Precision Agriculture,22,220,3.43,négatif,négatif,1,Smart Irrigation,North Africa,2773452,378,2024-12-07,-1,-1,-0.8976744186046511,-0.23076923076923073
Agritech Tunisia,Drones for Crop Monitoring,331,210,7.88,positif,neutre,6,Smart Irrigation,Sub-Saharan Africa,1686001,56,2024-12-07,1,0,14.045454545454545,-0.045454545454545414
Agritech Tunisia,Agriculture 4.0,490,181,29.69,positif,négatif,8,Robotics,North Africa,2013042,938,2024-12-07,1,-1,0.48036253776435056,-0.13809523809523805
Agritech Tunisia,Climate-Smart Agriculture,262,169,6.22,neutre,positif,2,Water Management,North Africa,4630523,580,2024-12-07,0,1,-0.4653061224489796,-0.06629834254143652
Agritech Tunisia,AI in Agriculture,44,5,3.69,neutre,positif,9,Robotics,Sub-Saharan Africa,1285122,55,2024-12-07,0,1,-0.83206106870229,-0.9704142011834319
Agritech Tunisia,Agricultural Robotics,51,193,5.54,positif,négatif,8,Climate Change,North Africa,2561609,710,2024-12-07,1,-1,0.15909090909090917,37.6
Agritech Tunisia,Precision Agriculture,470,185,18.93,négatif,négatif,8,Climate Change,Tunisia,2623283,221,2024-12-07,-1,-1,8.215686274509803,-0.041450777202072575
Agritech Tunisia,Climate-Smart Agriculture,339,83,27.92,neutre,neutre,9,IoT,Tunisia,2246282,140,2024-12-07,0,0,-0.27872340425531916,-0.5513513513513513
Agritech Tunisia,Climate-Smart Agriculture,202,256,10.98,négatif,positif,9,Robotics,Global,3254880,714,2024-12-07,-1,1,-0.4041297935103245,2.0843373493975905
Agritech Tunisia,Smart Irrigation,30,151,1.26,neutre,positif,7,AI,North Africa,1452833,935,2024-12-07,0,1,-0.8514851485148515,-0.41015625
Agritech Tunisia,AI in Agriculture,497,144,9.6,positif,négatif,3,Technology Adoption,Sub-Saharan Africa,3182410,866,2024-12-07,1,-1,15.566666666666666,-0.04635761589403975
Agritech Tunisia,Drones for Crop Monitoring,274,257,20.52,négatif,neutre,6,Drones,North Africa,4061990,469,2024-12-07,-1,0,-0.4486921529175051,0.7847222222222223
Agritech Tunisia,Agricultural Robotics,222,37,18.55,neutre,neutre,2,AI,Global,4243385,584,2024-12-07,0,0,-0.1897810218978102,-0.8560311284046693
Agritech Tunisia,Agricultural Robotics,203,184,25.07,négatif,positif,5,Sustainability,Tunisia,2808980,642,2024-12-07,-1,1,-0.0855855855855856,3.972972972972973
Agritech Tunisia,IoT for Farming,320,35,0.97,négatif,positif,4,Precision Agriculture,North Africa,1688835,711,2024-12-07,-1,1,0.5763546798029557,-0.8097826086956521
Agritech Tunisia,Precision Agriculture,360,100,25.42,neutre,négatif,5,Smart Irrigation,North Africa,4041149,712,2024-12-07,0,-1,0.125,1.8571428571428572
Agritech Tunisia,Agricultural Robotics,85,234,8.92,positif,négatif,4,Robotics,Tunisia,2654553,884,2024-12-07,1,-1,-0.7638888888888888,1.3399999999999999
Agritech Tunisia,Sustainable Agriculture,90,45,26.8,positif,négatif,6,Technology Adoption,North Africa,1556769,443,2024-12-07,1,-1,0.05882352941176472,-0.8076923076923077
Agritech Tunisia,Agricultural Robotics,270,24,4.41,neutre,positif,3,AI,Sub-Saharan Africa,2169690,412,2024-12-08,0,1,2.0,-0.4666666666666667
Agritech Tunisia,Sustainable Agriculture,176,140,13.94,neutre,neutre,6,IoT,North Africa,4408150,829,2024-12-08,0,0,-0.3481481481481481,4.833333333333333
Agritech Tunisia,AI in Agriculture,464,261,18.35,positif,négatif,10,Drones,Sub-Saharan Africa,3752617,572,2024-12-08,1,-1,1.6363636363636362,0.8642857142857143
Agritech Tunisia,IoT for Farming,55,147,2.18,négatif,négatif,3,Smart Irrigation,North Africa,2154450,402,2024-12-08,-1,-1,-0.8814655172413793,-0.4367816091954023
Agritech Tunisia,Agriculture 4.0,120,290,7.88,négatif,neutre,9,Technology Adoption,Sub-Saharan Africa,2064222,172,2024-12-08,-1,0,1.1818181818181817,0.9727891156462585
Agritech Tunisia,Drones for Crop Monitoring,359,155,25.36,neutre,positif,7,Technology Adoption,Europe,479054,940,2024-12-08,0,1,1.9916666666666667,-0.4655172413793104
Agritech Tunisia,Precision Agriculture,261,100,20.24,neutre,neutre,1,Drones,Sub-Saharan Africa,2448582,744,2024-12-08,0,0,-0.27298050139275765,-0.3548387096774194
Agritech Tunisia,Water Management,118,206,16.65,négatif,neutre,10,Drones,Tunisia,1894707,644,2024-12-08,-1,0,-0.5478927203065134,1.06
Agritech Tunisia,Agricultural Robotics,286,58,29.87,neutre,négatif,2,Drones,Europe,480663,191,2024-12-08,0,-1,1.4237288135593222,-0.7184466019417476
